Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,EmployeeID
Bachelors,2014,Pune,3,25,Male,No,3,1,1686
Bachelors,2012,Bangalore,3,24,Female,No,2,0,1925
Bachelors,2015,Pune,2,27,Female,No,5,1,2125
Bachelors,2013,Bangalore,3,38,Male,No,0,0,4278
Bachelors,2015,Bangalore,3,27,Male,Yes,5,0,1785
Bachelors,2018,Bangalore,3,39,Male,No,1,1,3697
Masters,2014,Pune,3,27,Male,No,5,0,2354
Bachelors,2015,Bangalore,1,24,Female,No,2,1,1350
PHD,2013,New Delhi,3,36,Male,No,3,1,3895
Bachelors,2016,Pune,3,27,Male,No,5,0,4254
Bachelors,2013,Pune,2,26,Female,No,4,1,1139
Bachelors,2017,New Delhi,3,26,Female,No,4,0,2829
Masters,2014,Pune,2,33,Female,No,5,0,3230
Bachelors,2018,Bangalore,3,28,Male,No,3,1,2688
Bachelors,2017,Bangalore,3,28,Male,No,4,0,2537
Bachelors,2017,New Delhi,3,26,Male,No,4,0,4407
Bachelors,2015,Pune,3,35,Male,No,3,0,3582
Bachelors,2016,Pune,3,27,Female,No,5,0,1919
Bachelors,2013,Pune,3,25,Male,No,3,0,4106
Bachelors,2018,Bangalore,3,24,Male,No,2,1,975
Bachelors,2014,Bangalore,3,28,Male,No,2,0,1178
PHD,2017,Pune,3,30,Male,No,5,0,4279
PHD,2012,Pune,3,27,Male,No,5,0,1541
Bachelors,2015,Bangalore,3,30,Male,No,1,0,2238
Bachelors,2017,New Delhi,3,41,Male,No,2,0,3528
Masters,2018,Bangalore,3,24,Male,No,2,1,263
Bachelors,2016,Pune,3,28,Male,No,3,0,624
Bachelors,2013,Bangalore,3,31,Male,Yes,4,0,3444
Masters,2015,New Delhi,3,25,Male,No,3,0,307
Bachelors,2013,Bangalore,1,39,Female,No,1,1,3204
Bachelors,2012,New Delhi,3,25,Female,No,3,0,1326
Bachelors,2014,Bangalore,3,35,Male,No,1,0,3246
Bachelors,2012,Pune,2,27,Female,No,5,1,347
Bachelors,2013,New Delhi,3,26,Male,No,4,0,2292
Bachelors,2014,New Delhi,3,26,Male,No,4,0,2779
Bachelors,2013,Pune,1,23,Female,No,1,1,4543
Bachelors,2014,New Delhi,3,33,Female,Yes,4,0,4128
Bachelors,2017,New Delhi,3,30,Male,No,5,0,2827
Bachelors,2017,Pune,3,27,Male,No,5,0,940
Bachelors,2016,Bangalore,1,30,Male,No,4,1,4066
Masters,2017,New Delhi,2,28,Female,No,2,0,810
Bachelors,2014,New Delhi,3,28,Female,No,3,0,2676
Bachelors,2014,Bangalore,3,39,Male,No,3,1,95
Bachelors,2014,Bangalore,3,38,Male,No,0,0,3311
Masters,2013,Bangalore,2,28,Female,No,2,1,213
Bachelors,2014,Bangalore,3,26,Male,No,4,0,4350
Bachelors,2015,Pune,2,27,Female,Yes,5,1,227
Bachelors,2013,Bangalore,3,38,Male,No,5,0,3523
Bachelors,2015,Pune,2,29,Female,No,2,1,2171
Bachelors,2013,Bangalore,3,29,Male,No,1,0,2712
Bachelors,2015,Bangalore,3,28,Male,No,5,0,999
Bachelors,2017,Pune,3,24,Male,No,2,0,1165
Bachelors,2012,Pune,3,29,Male,No,5,0,2804
Bachelors,2017,New Delhi,3,27,Female,No,5,0,363
Bachelors,2014,Pune,3,25,Male,No,3,0,444
Masters,2017,New Delhi,2,26,Female,No,4,0,618
PHD,2015,Pune,1,25,Female,No,3,1,1070
Bachelors,2012,Bangalore,3,33,Female,No,1,0,3228
Bachelors,2017,Bangalore,3,26,Female,No,4,0,667
Bachelors,2016,Bangalore,3,28,Male,No,1,0,4162
Bachelors,2014,Bangalore,3,25,Male,Yes,3,0,1957
Bachelors,2016,Bangalore,3,26,Male,No,4,0,570
Bachelors,2014,Bangalore,1,27,Male,No,5,1,2527
PHD,2013,Bangalore,3,26,Male,No,4,0,4366
Bachelors,2013,Bangalore,3,28,Male,No,0,0,1134
Bachelors,2017,Pune,3,27,Male,No,5,0,4487
Bachelors,2013,Bangalore,3,25,Male,No,3,0,602
Bachelors,2014,New Delhi,3,25,Male,No,3,0,1670
Bachelors,2014,Bangalore,3,30,Male,No,0,0,2909
Masters,2012,Bangalore,3,27,Male,No,5,1,934
Bachelors,2018,Bangalore,3,32,Female,No,2,1,3537
Bachelors,2014,New Delhi,3,26,Male,No,4,0,1252
Bachelors,2015,Bangalore,3,24,Male,No,2,0,406
Bachelors,2013,Bangalore,3,26,Female,No,4,0,1119
Bachelors,2012,New Delhi,3,28,Female,No,0,0,2914
Masters,2016,Bangalore,3,27,Male,No,5,1,4
Bachelors,2015,Bangalore,3,28,Male,No,3,0,384
Masters,2015,Pune,2,31,Female,No,2,0,4377
Masters,2018,Pune,3,27,Male,No,5,1,936
Bachelors,2016,New Delhi,3,39,Female,No,0,0,4269
Bachelors,2017,Bangalore,3,26,Male,No,4,0,450
Bachelors,2015,Bangalore,3,39,Female,No,3,1,3808
Bachelors,2017,Pune,2,28,Male,No,3,0,1576
Bachelors,2015,Pune,3,36,Male,No,3,0,4530
Masters,2018,New Delhi,3,28,Male,Yes,2,1,1977
Bachelors,2014,New Delhi,3,40,Female,No,3,1,3445
Bachelors,2017,Bangalore,3,26,Male,No,4,0,2838
Bachelors,2013,Bangalore,3,26,Male,Yes,4,0,467
Bachelors,2017,Bangalore,3,25,Male,No,3,0,1150
Bachelors,2013,Bangalore,1,40,Male,No,2,0,3368
Masters,2017,New Delhi,2,24,Female,No,2,1,4379
Bachelors,2018,Bangalore,3,41,Female,No,2,1,3473
Bachelors,2012,Bangalore,3,30,Male,No,2,0,2109
Bachelors,2017,New Delhi,2,27,Male,No,5,0,549
Bachelors,2012,New Delhi,3,26,Female,Yes,4,0,871
Bachelors,2012,Bangalore,3,27,Female,No,5,0,756
Bachelors,2014,Pune,2,26,Female,No,4,1,690
Bachelors,2015,Pune,2,27,Female,Yes,5,1,227
Bachelors,2015,Pune,2,26,Female,No,4,1,1735
Bachelors,2015,Pune,2,27,Female,Yes,5,1,547
Bachelors,2014,Pune,3,26,Male,No,4,0,1783
Masters,2015,Bangalore,3,27,Male,No,5,1,1954
Bachelors,2013,Pune,3,40,Female,No,5,1,3169
Masters,2017,New Delhi,3,32,Male,No,2,0,4051
PHD,2013,Bangalore,3,32,Male,No,5,0,3956
Masters,2017,New Delhi,2,30,Male,No,2,0,2060
Bachelors,2017,New Delhi,1,25,Female,No,3,0,736
Bachelors,2017,Bangalore,3,28,Male,No,5,0,1712
Bachelors,2018,Bangalore,3,24,Female,No,2,1,1661
Bachelors,2012,Bangalore,3,37,Male,No,4,1,4067
Masters,2014,New Delhi,3,36,Male,No,1,1,3139
Bachelors,2013,Bangalore,3,24,Female,No,2,0,339
Bachelors,2015,Bangalore,3,38,Male,No,1,1,3646
Bachelors,2017,Bangalore,3,38,Male,Yes,2,0,3372
Bachelors,2016,Bangalore,2,25,Male,No,3,1,1319
Bachelors,2015,Pune,2,26,Female,No,4,1,206
Bachelors,2017,Bangalore,3,24,Male,No,2,0,1290
Bachelors,2013,Bangalore,3,26,Female,No,4,0,2968
Bachelors,2017,New Delhi,3,26,Female,No,4,0,2918
Bachelors,2012,Pune,3,28,Male,No,2,0,1188
Bachelors,2014,Bangalore,3,25,Male,No,3,0,281
Bachelors,2015,Pune,3,28,Male,No,1,0,922
Bachelors,2014,Pune,3,26,Male,No,4,0,2637
Bachelors,2015,Bangalore,3,34,Male,No,5,0,3052
Masters,2014,New Delhi,3,28,Male,No,2,0,507
Bachelors,2013,Bangalore,3,26,Male,No,4,0,1172
Bachelors,2014,Bangalore,3,28,Male,No,2,0,1178
Bachelors,2017,New Delhi,2,28,Female,No,0,0,2499
Bachelors,2017,Bangalore,3,38,Female,No,2,0,3481
Bachelors,2017,New Delhi,3,26,Male,No,4,0,2061
Masters,2017,New Delhi,2,26,Female,No,4,1,1599
Bachelors,2012,New Delhi,3,32,Male,No,1,1,3702
Bachelors,2016,Bangalore,1,25,Female,No,3,0,1264
Bachelors,2015,Bangalore,3,24,Male,No,2,0,1946
Bachelors,2012,Bangalore,3,34,Male,No,1,0,3053
Bachelors,2017,New Delhi,2,40,Female,No,3,0,4440
Bachelors,2015,New Delhi,3,24,Female,No,2,0,1544
Bachelors,2015,Pune,3,29,Female,No,2,1,2426
Bachelors,2017,Pune,2,26,Female,No,4,1,2750
Bachelors,2015,New Delhi,3,30,Female,Yes,1,0,2757
Bachelors,2016,Pune,3,33,Male,No,3,0,3066
Bachelors,2013,Bangalore,3,26,Male,Yes,4,0,2383
Bachelors,2018,Pune,2,39,Female,No,0,1,3045
Bachelors,2013,New Delhi,3,27,Female,No,5,0,1602
Bachelors,2017,Bangalore,3,28,Male,No,1,0,1061
PHD,2013,Bangalore,3,39,Male,No,2,1,3378
Masters,2014,Pune,3,40,Male,No,4,1,3218
Bachelors,2015,New Delhi,2,34,Female,No,5,1,3726
Masters,2017,New Delhi,2,28,Female,No,1,1,185
Bachelors,2014,Bangalore,3,28,Male,No,4,0,89
Bachelors,2017,Bangalore,3,36,Female,No,3,1,4118
Bachelors,2018,Pune,3,40,Male,No,3,1,4102
Bachelors,2018,Bangalore,3,27,Male,No,5,1,1960
Masters,2013,New Delhi,2,35,Female,No,2,1,4435
Bachelors,2014,Bangalore,3,28,Male,No,3,1,472
Masters,2017,New Delhi,2,26,Male,No,4,1,852
Bachelors,2013,Pune,3,24,Male,No,2,0,4258
Masters,2017,Bangalore,3,31,Male,No,4,0,72
Bachelors,2018,Bangalore,3,28,Male,No,1,1,2324
Masters,2017,New Delhi,3,28,Male,No,1,1,1767
Bachelors,2013,Pune,2,27,Female,No,5,1,1798
Bachelors,2017,Bangalore,3,40,Male,No,1,0,4367
Bachelors,2017,New Delhi,2,26,Female,No,4,0,1084
Bachelors,2012,Bangalore,3,25,Female,No,3,0,747
Masters,2012,New Delhi,3,26,Female,No,4,1,1345
Bachelors,2012,Pune,1,35,Male,No,1,0,4110
Bachelors,2014,Bangalore,3,39,Female,No,4,0,3850
Bachelors,2014,Bangalore,3,30,Female,No,1,0,2446
Masters,2017,Pune,3,33,Male,No,4,1,3077
Bachelors,2015,Bangalore,3,30,Male,No,2,0,4062
PHD,2018,Bangalore,3,28,Male,No,2,1,2653
Bachelors,2015,New Delhi,3,32,Female,No,2,0,3649
Bachelors,2013,New Delhi,3,26,Male,No,4,0,2427
Bachelors,2013,Bangalore,3,37,Female,No,2,1,4501
Masters,2014,New Delhi,3,24,Male,No,2,0,688
PHD,2016,New Delhi,3,27,Female,No,5,0,1522
Bachelors,2015,New Delhi,3,25,Female,Yes,3,0,4091
Bachelors,2015,Pune,3,32,Female,No,3,1,3885
Masters,2018,New Delhi,3,28,Male,Yes,2,1,471
Bachelors,2014,Pune,3,24,Male,No,2,0,231
Bachelors,2018,Pune,3,26,Male,No,4,1,1272
Bachelors,2012,Bangalore,3,25,Female,No,3,1,4001
Bachelors,2016,Bangalore,3,27,Male,No,5,0,1778
Bachelors,2012,Bangalore,3,27,Male,No,5,0,4469
Bachelors,2013,Bangalore,3,27,Male,No,5,1,2107
Bachelors,2016,Bangalore,3,28,Male,Yes,4,0,1059
Masters,2017,New Delhi,3,24,Male,No,2,1,462
Bachelors,2014,Bangalore,3,31,Male,No,0,1,3355
Bachelors,2016,Pune,3,26,Male,No,4,0,1694
Bachelors,2013,Bangalore,3,34,Male,No,6,0,3982
Bachelors,2014,Bangalore,3,27,Male,No,5,1,2164
Bachelors,2017,Bangalore,3,28,Male,No,3,1,4424
Bachelors,2015,Pune,2,27,Male,No,5,0,717
Bachelors,2016,Bangalore,3,24,Male,No,2,0,4045
PHD,2018,New Delhi,3,38,Female,No,5,1,4308
Masters,2017,New Delhi,2,31,Female,No,2,0,4015
Bachelors,2017,Bangalore,3,28,Male,No,5,0,1712
Bachelors,2017,Bangalore,3,26,Female,No,4,0,131
Bachelors,2013,Bangalore,3,28,Male,No,3,1,1117
